A-06363,"AFGHANISTAN - 1961 SPORTS / UNICEF - 5V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN','ORGANIZATIONS',,5,'MNH',2.99,1,5
A-04156,"AFGHANISTAN - 1961 WOMEN'S DAY / GIRL SCOUTS - MIN. SHEET - MINT NH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'BOY SCOUTS & GIRL GUIDES'",,1,'MNH',3.99,1,5
A-02735,"AFGHANISTAN - 1961 WOMEN'S DAY / GIRL SCOUTS - MIN. SHEET - MINT NH IMPERFORATED","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'BOY SCOUTS & GIRL GUIDES'",,1,'MNH',4.99,1,5
A-08348,"AFGHANISTAN - 1962 1st DEATH ANNIVERSARY OF DAG HAMMARSKJOLD MIN. SHEET MNH","Condition: Good","SOUVENIR SHEETS",'AFGHANISTAN',"'FAMOUS PEOPLE'",,1,'MNH',2.99,1,5
A-06959,"AFGHANISTAN - 1962 4th OLYMPIC GAMES - 5V - MINT HINGED","Condition: Good",STAMPS,'AFGHANISTAN','OLYMPICS',,5,'MNH',3.50,1,5
A-01418,"AFGHANISTAN - 1962 MALARIA ERADICATION SET OF 1-MIN/SHT & 1-SOUVENIR SHEET MNH","Condition: Good",SET,'AFGHANISTAN','MALARIA',,2,'MNH',9.99,1,5
A-01239,"AFGHANISTAN - 1962 MALARIA ERADICATION SET OF 6-stamps & 1-m/s MNH IMPERF!!!","Condition: Good",SET,'AFGHANISTAN','MALARIA',,7,'MNH',16.99,1,5
A-08940,"AFGHANISTAN - 1962 MALARIA ERADICTION - 9V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN','MALARIA',,9,'MNH',3.82,1,5
A-06607,"AFGHANISTAN - 1962 UNITED NATIONS DAY - 5V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN','ORGANIZATIONS',,5,'MNH',2.99,1,5
A-05568,"AFGHANISTAN - 1963 3rd UN WORLD METEOROLOGICAL DAY SCOTT#645-649 - 5V-  MINT LH","Condition: Good",STAMPS,'AFGHANISTAN','EVENTS',,5,'MNH',3.50,1,5
A-08067,"AFGHANISTAN - 1963 FLOWERS - 5V - MINT NH","Condition: Good",STAMPS,'AFGHANISTAN',"'FLOWERS PLANTS NATURE'",,5,'MNH',2.99,1,5
